,Standard Deviation,Variance
remote_ratio,41.454279531289544,1718.4572914582914
years_experience,4.820807936874569,23.240189164232845
team_size,2.647929732144204,7.011531866373276
certifications_count,1.3442117471009576,1.8069052210442087
weekly_hours,6.142760742687964,37.73350954190838
ai_tools_hours_per_week,5.503637274080563,30.290023244648932
salary_usd,55369.31047255368,3065760542.206043
equity_offered_pct,0.18424282093816696,0.03394541706725345
bonus_pct,5.152958683925154,26.55298319823965
job_satisfaction_score,1.3643022985219773,1.8613207617523504
interviews_to_offer,2.4126946717551774,5.8210955791158225
upskilling_hours_per_month,4.422548907606114,19.558938840168032
fears_ai_automation_score,1.7259236356453365,2.978812396079216
